id;поступило;канал;категория;сотрудник;время_первого_ответа_мин;время_решения_мин;норматив_sla_мин;нарушен_sla;оценка_csat
REQ-0057;2026-07-03 21:03;Telegram;жалоба;Оператор Г;88;170;30;да;1
REQ-0058;2026-07-09 19:31;Telegram;навигация;Оператор Б;10;22;30;нет;5
REQ-0059;2026-07-23 10:28;MAX;мероприятия;Оператор А;38;146;60;нет;
REQ-0060;2026-08-17 09:21;лично;биллинг;Оператор Г;292;385;60;да;
REQ-0061;2026-08-18 17:38;MAX;мероприятия;Оператор А;13;19;60;нет;
REQ-0062;2026-06-13 11:31;почта;мероприятия;Оператор Б;45;75;60;нет;5
REQ-0063;2026-08-10 17:18;MAX;мероприятия;Оператор В;24;150;60;нет;4
REQ-0064;2026-07-01 09:20;MAX;биллинг;Оператор А;47;91;60;нет;5
REQ-0065;2026-08-02 18:33;Telegram;жалоба;Оператор Б;8;67;30;нет;5
REQ-0066;2026-06-26 20:13;Telegram;благодарность;Оператор Б;106;394;240;нет;4
REQ-0067;2026-06-12 17:37;Telegram;членство;Оператор В;20;262;120;нет;5
REQ-0068;2026-08-12 21:39;Telegram;членство;Оператор Б;67;305;120;нет;3
REQ-0069;2026-08-09 13:41;лично;биллинг;Оператор В;73;124;60;да;
REQ-0070;2026-07-22 09:14;Telegram;бронирования;Оператор В;16;67;30;нет;
REQ-0071;2026-08-09 10:30;лично;гости;Оператор Б;5;36;30;нет;
REQ-0072;2026-08-07 14:51;почта;жалоба;Оператор Б;18;52;30;нет;
REQ-0073;2026-07-15 15:35;почта;навигация;Оператор Б;8;85;30;нет;5
REQ-0074;2026-07-14 19:36;MAX;жалоба;Оператор А;9;60;30;нет;5
REQ-0075;2026-08-27 19:19;Telegram;благодарность;Оператор А;172;608;240;нет;5
REQ-0076;2026-08-24 21:58;Telegram;жалоба;Оператор Б;18;106;30;нет;
REQ-0077;2026-06-11 20:20;MAX;благодарность;Оператор В;21;545;240;нет;
REQ-0078;2026-07-13 20:50;Telegram;биллинг;Оператор В;76;154;60;да;3
REQ-0079;2026-07-24 18:48;почта;жалоба;Оператор Б;21;32;30;нет;
REQ-0080;2026-08-28 13:51;Telegram;бронирования;Оператор А;6;40;30;нет;4
REQ-0081;2026-08-03 18:20;MAX;навигация;Оператор А;13;78;30;нет;
REQ-0082;2026-06-01 19:48;Telegram;членство;Оператор Г;193;457;120;да;3
REQ-0083;2026-08-13 14:58;Telegram;жалоба;Оператор Б;6;52;30;нет;3
REQ-0084;2026-06-14 21:33;Telegram;жалоба;Оператор Г;73;78;30;да;2
REQ-0085;2026-08-23 09:40;почта;гости;Оператор Г;63;96;30;да;
REQ-0086;2026-08-22 11:19;Telegram;жалоба;Оператор Г;30;86;30;нет;5
REQ-0087;2026-06-10 19:20;Telegram;членство;Оператор А;66;223;120;нет;3
REQ-0088;2026-06-07 11:57;Telegram;жалоба;Оператор Б;8;33;30;нет;5
REQ-0089;2026-07-13 11:21;лично;навигация;Оператор Г;64;81;30;да;
REQ-0090;2026-08-25 10:33;Telegram;благодарность;Оператор Г;827;1366;240;да;3
REQ-0091;2026-08-25 13:15;лично;бронирования;Оператор Б;29;35;30;нет;4
REQ-0092;2026-08-20 11:47;Telegram;мероприятия;Оператор В;55;248;60;нет;5
REQ-0093;2026-07-17 17:05;Telegram;бронирования;Оператор Б;31;76;30;да;1
REQ-0094;2026-08-09 18:01;почта;гости;Оператор Г;82;151;30;да;3
REQ-0095;2026-07-14 12:19;почта;гости;Оператор Б;24;76;30;нет;1
REQ-0096;2026-08-10 15:04;MAX;гости;Оператор В;28;72;30;нет;
REQ-0097;2026-07-04 19:28;лично;мероприятия;Оператор Г;94;99;60;да;
REQ-0098;2026-06-28 15:54;Telegram;благодарность;Оператор В;64;319;240;нет;
REQ-0099;2026-07-20 11:35;лично;навигация;Оператор Г;84;109;30;да;2
REQ-0100;2026-06-09 12:21;почта;биллинг;Оператор А;30;246;60;нет;3
REQ-0101;2026-08-27 15:12;Telegram;гости;Оператор Б;13;46;30;нет;5
REQ-0102;2026-08-02 16:49;Telegram;гости;Оператор Б;40;102;30;да;
REQ-0103;2026-06-11 15:21;лично;членство;Оператор Б;72;77;120;нет;
REQ-0104;2026-08-20 09:01;MAX;мероприятия;Оператор В;61;139;60;да;2
REQ-0105;2026-07-11 12:52;Telegram;жалоба;Оператор Г;66;129;30;да;2
REQ-0106;2026-06-20 20:45;Telegram;членство;Оператор В;36;182;120;нет;5
REQ-0107;2026-07-17 20:15;MAX;биллинг;Оператор А;55;116;60;нет;
REQ-0108;2026-08-19 15:46;Telegram;жалоба;Оператор А;23;55;30;нет;5
REQ-0109;2026-07-08 18:09;MAX;гости;Оператор В;23;111;30;нет;5
REQ-0110;2026-06-27 09:35;лично;навигация;Оператор В;17;101;30;нет;5
REQ-0111;2026-06-15 09:37;Telegram;мероприятия;Оператор Б;24;197;60;нет;5
REQ-0112;2026-06-06 12:33;почта;мероприятия;Оператор А;43;179;60;нет;5
REQ-0113;2026-07-09 12:31;Telegram;жалоба;Оператор А;13;18;30;нет;
REQ-0114;2026-06-16 14:54;MAX;мероприятия;Оператор Г;96;116;60;да;1
REQ-0115;2026-08-27 15:57;MAX;гости;Оператор А;24;48;30;нет;5
REQ-0116;2026-06-11 09:37;лично;навигация;Оператор Г;44;49;30;да;4
REQ-0117;2026-06-08 10:58;Telegram;благодарность;Оператор Г;598;911;240;да;
REQ-0118;2026-07-18 13:34;Telegram;мероприятия;Оператор А;59;148;60;нет;5
REQ-0119;2026-08-19 21:50;Telegram;членство;Оператор Г;2;76;120;нет;
REQ-0120;2026-07-04 17:04;Telegram;благодарность;Оператор В;134;696;240;нет;
REQ-0121;2026-08-15 17:29;Telegram;мероприятия;Оператор В;28;77;60;нет;
REQ-0122;2026-08-10 14:03;Telegram;благодарность;Оператор Г;477;725;240;да;2
REQ-0123;2026-07-11 14:15;Telegram;благодарность;Оператор Б;64;144;240;нет;4
REQ-0124;2026-07-02 19:56;Telegram;гости;Оператор В;22;61;30;нет;
REQ-0125;2026-07-11 20:44;почта;благодарность;Оператор А;195;972;240;нет;
REQ-0126;2026-07-09 11:37;MAX;биллинг;Оператор В;81;114;60;да;1
REQ-0127;2026-08-08 13:04;лично;членство;Оператор Б;58;407;120;нет;
REQ-0128;2026-08-17 10:48;Telegram;бронирования;Оператор В;8;45;30;нет;5
REQ-0129;2026-07-08 11:29;лично;навигация;Оператор А;23;126;30;нет;5
REQ-0130;2026-08-01 16:42;Telegram;бронирования;Оператор А;5;35;30;нет;
REQ-0131;2026-08-26 09:27;MAX;навигация;Оператор Б;4;20;30;нет;
REQ-0132;2026-07-22 16:16;лично;навигация;Оператор Б;15;97;30;нет;4
REQ-0133;2026-06-07 18:01;MAX;бронирования;Оператор Г;58;89;30;да;
REQ-0134;2026-08-26 15:11;лично;благодарность;Оператор В;142;454;240;нет;
REQ-0135;2026-08-19 21:47;MAX;биллинг;Оператор Б;108;219;60;да;1
REQ-0136;2026-08-25 13:38;Telegram;благодарность;Оператор Б;95;580;240;нет;4
REQ-0137;2026-08-02 14:48;почта;мероприятия;Оператор В;24;29;60;нет;5
REQ-0138;2026-07-05 20:35;MAX;благодарность;Оператор А;199;564;240;нет;5
REQ-0139;2026-07-16 15:05;Telegram;гости;Оператор Б;15;74;30;нет;5
REQ-0140;2026-07-12 13:21;MAX;жалоба;Оператор Б;24;76;30;нет;5
REQ-0141;2026-07-15 15:11;почта;биллинг;Оператор Г;225;274;60;да;
REQ-0142;2026-08-26 11:28;Telegram;благодарность;Оператор Г;431;1053;240;да;
REQ-0143;2026-08-21 19:17;почта;членство;Оператор Б;32;180;120;нет;
REQ-0144;2026-08-09 18:13;MAX;бронирования;Оператор Б;15;24;30;нет;4
REQ-0145;2026-07-04 14:20;Telegram;бронирования;Оператор В;20;81;30;нет;5
REQ-0146;2026-08-15 10:25;Telegram;мероприятия;Оператор В;35;52;60;нет;
REQ-0147;2026-07-16 09:34;Telegram;биллинг;Оператор Б;103;203;60;да;
REQ-0148;2026-07-17 20:17;Telegram;навигация;Оператор Г;41;71;30;да;
REQ-0149;2026-08-23 16:23;Telegram;мероприятия;Оператор Г;51;135;60;нет;
REQ-0150;2026-08-20 12:48;Telegram;членство;Оператор А;65;107;120;нет;
REQ-0151;2026-07-22 19:40;Telegram;гости;Оператор В;6;11;30;нет;5
REQ-0152;2026-07-03 21:45;Telegram;мероприятия;Оператор Г;40;133;60;нет;5
REQ-0153;2026-07-08 11:47;Telegram;мероприятия;Оператор Г;101;135;60;да;3
REQ-0154;2026-08-14 21:25;почта;членство;Оператор В;53;87;120;нет;5
REQ-0155;2026-06-12 10:46;Telegram;мероприятия;Оператор А;10;181;60;нет;
REQ-0156;2026-08-09 10:52;Telegram;бронирования;Оператор В;12;82;30;нет;
REQ-0157;2026-07-21 16:49;MAX;мероприятия;Оператор В;48;121;60;нет;1
REQ-0158;2026-06-21 09:58;MAX;мероприятия;Оператор Г;112;210;60;да;3
REQ-0159;2026-08-02 21:12;лично;членство;Оператор В;54;339;120;нет;5
REQ-0160;2026-07-08 13:35;Telegram;биллинг;Оператор А;163;178;60;да;
REQ-0161;2026-08-28 19:51;MAX;гости;Оператор В;16;74;30;нет;
REQ-0162;2026-07-23 15:23;Telegram;членство;Оператор Б;90;410;120;нет;4
REQ-0163;2026-08-10 14:56;Telegram;благодарность;Оператор Б;65;711;240;нет;3
REQ-0164;2026-06-03 10:39;Telegram;навигация;Оператор Г;11;52;30;нет;
REQ-0165;2026-08-28 16:40;Telegram;бронирования;Оператор В;5;79;30;нет;5
REQ-0166;2026-07-12 20:26;Telegram;жалоба;Оператор В;19;48;30;нет;5
REQ-0167;2026-07-20 20:41;Telegram;навигация;Оператор Б;19;103;30;нет;
REQ-0168;2026-07-01 16:59;Telegram;членство;Оператор В;25;287;120;нет;
REQ-0169;2026-07-02 11:21;Telegram;гости;Оператор Б;13;105;30;нет;5
REQ-0170;2026-06-27 17:14;Telegram;благодарность;Оператор В;196;661;240;нет;4
REQ-0171;2026-08-24 18:55;Telegram;мероприятия;Оператор Г;80;132;60;да;
REQ-0172;2026-07-15 11:56;MAX;гости;Оператор В;22;45;30;нет;
REQ-0173;2026-06-09 18:16;Telegram;членство;Оператор Г;181;446;120;да;3
REQ-0174;2026-08-02 11:08;Telegram;гости;Оператор В;16;58;30;нет;
REQ-0175;2026-07-28 15:39;Telegram;благодарность;Оператор Г;237;844;240;нет;5
REQ-0176;2026-07-09 12:54;Telegram;навигация;Оператор Г;1;15;30;нет;
REQ-0177;2026-06-06 17:29;лично;гости;Оператор А;16;67;30;нет;5
REQ-0178;2026-06-07 10:51;Telegram;жалоба;Оператор В;21;26;30;нет;5
REQ-0179;2026-08-27 19:00;почта;гости;Оператор Г;61;80;30;да;2
REQ-0180;2026-07-08 14:28;лично;мероприятия;Оператор В;19;107;60;нет;4
REQ-0181;2026-08-10 13:11;лично;гости;Оператор В;11;42;30;нет;
REQ-0182;2026-07-02 20:09;MAX;членство;Оператор В;57;169;120;нет;
REQ-0183;2026-08-12 11:34;Telegram;мероприятия;Оператор А;28;129;60;нет;
REQ-0184;2026-07-01 11:31;Telegram;жалоба;Оператор А;10;42;30;нет;1
REQ-0185;2026-08-25 20:11;Telegram;членство;Оператор А;30;35;120;нет;
REQ-0186;2026-08-17 09:28;лично;членство;Оператор Г;219;377;120;да;4
REQ-0187;2026-08-17 18:24;Telegram;гости;Оператор Г;23;81;30;нет;4
REQ-0188;2026-08-19 09:09;MAX;бронирования;Оператор Г;17;75;30;нет;1
REQ-0189;2026-08-15 14:08;лично;навигация;Оператор В;20;96;30;нет;5
REQ-0190;2026-08-04 12:04;лично;членство;Оператор Б;94;99;120;нет;1
REQ-0191;2026-07-28 09:17;Telegram;жалоба;Оператор В;6;61;30;нет;5
REQ-0192;2026-07-03 10:55;почта;благодарность;Оператор Б;201;684;240;нет;
REQ-0193;2026-08-03 21:55;Telegram;членство;Оператор Б;73;272;120;нет;
REQ-0194;2026-07-27 13:31;почта;гости;Оператор Б;14;54;30;нет;4
REQ-0195;2026-06-03 19:42;MAX;биллинг;Оператор В;114;136;60;да;
REQ-0196;2026-08-13 09:13;лично;жалоба;Оператор В;27;32;30;нет;5
REQ-0197;2026-07-25 11:22;лично;членство;Оператор Г;266;470;120;да;
REQ-0198;2026-08-10 12:26;Telegram;бронирования;Оператор Б;15;31;30;нет;
REQ-0199;2026-07-05 10:06;почта;навигация;Оператор В;20;37;30;нет;4
REQ-0200;2026-08-17 20:54;Telegram;мероприятия;Оператор Г;61;127;60;да;4
REQ-0201;2026-06-22 19:04;Telegram;благодарность;Оператор Г;143;759;240;нет;5
REQ-0202;2026-08-14 14:39;MAX;навигация;Оператор Г;37;62;30;да;5
REQ-0203;2026-07-01 15:56;Telegram;жалоба;Оператор В;11;71;30;нет;
REQ-0204;2026-06-18 19:46;почта;гости;Оператор Б;23;83;30;нет;
REQ-0205;2026-08-27 09:42;почта;членство;Оператор А;42;324;120;нет;
REQ-0206;2026-06-08 09:29;почта;мероприятия;Оператор Б;17;31;60;нет;5
REQ-0207;2026-08-26 19:50;MAX;биллинг;Оператор Б;4;95;60;нет;5
REQ-0208;2026-06-01 11:55;лично;навигация;Оператор Г;49;79;30;да;5
REQ-0209;2026-08-27 09:50;Telegram;гости;Оператор Г;19;55;30;нет;
REQ-0210;2026-06-10 17:49;Telegram;гости;Оператор Б;18;72;30;нет;5
REQ-0211;2026-07-08 18:06;почта;мероприятия;Оператор А;54;138;60;нет;
REQ-0212;2026-08-05 10:26;Telegram;членство;Оператор Б;28;299;120;нет;1
REQ-0213;2026-06-08 11:07;лично;гости;Оператор Г;64;139;30;да;
REQ-0214;2026-08-10 17:26;почта;бронирования;Оператор Г;42;106;30;да;2
REQ-0215;2026-08-16 12:23;MAX;членство;Оператор А;44;286;120;нет;5
REQ-0216;2026-06-14 21:19;почта;благодарность;Оператор В;96;282;240;нет;
REQ-0217;2026-08-02 11:23;MAX;мероприятия;Оператор В;23;138;60;нет;
REQ-0218;2026-06-11 14:44;Telegram;благодарность;Оператор Г;364;493;240;да;5
REQ-0219;2026-08-08 14:31;Telegram;жалоба;Оператор Б;7;26;30;нет;
REQ-0220;2026-06-17 21:41;Telegram;жалоба;Оператор А;19;102;30;нет;1
REQ-0221;2026-08-13 10:20;MAX;навигация;Оператор А;36;125;30;да;4
REQ-0222;2026-07-27 11:39;лично;навигация;Оператор В;29;91;30;нет;
REQ-0223;2026-06-18 11:34;лично;жалоба;Оператор А;7;21;30;нет;
REQ-0224;2026-06-27 20:50;почта;благодарность;Оператор В;50;55;240;нет;5
REQ-0225;2026-06-15 19:57;почта;членство;Оператор Г;115;120;120;нет;
REQ-0226;2026-06-27 10:07;лично;жалоба;Оператор А;14;30;30;нет;4
REQ-0227;2026-07-04 15:02;MAX;жалоба;Оператор Б;18;49;30;нет;4
REQ-0228;2026-08-13 12:47;почта;благодарность;Оператор Г;313;452;240;да;5
REQ-0229;2026-07-25 18:37;Telegram;жалоба;Оператор А;13;72;30;нет;
REQ-0230;2026-08-22 15:20;MAX;благодарность;Оператор Г;224;831;240;нет;1
REQ-0231;2026-06-23 16:58;лично;биллинг;Оператор В;50;189;60;нет;
REQ-0232;2026-06-26 13:58;Telegram;мероприятия;Оператор Б;12;136;60;нет;1
REQ-0233;2026-08-15 15:09;Telegram;благодарность;Оператор Б;167;834;240;нет;4
REQ-0234;2026-06-23 14:51;MAX;членство;Оператор Г;164;403;120;да;2
REQ-0235;2026-07-04 12:10;Telegram;членство;Оператор Б;100;129;120;нет;
REQ-0236;2026-07-19 11:54;лично;жалоба;Оператор В;3;103;30;нет;5
REQ-0237;2026-07-04 12:16;Telegram;жалоба;Оператор Б;10;49;30;нет;
REQ-0238;2026-08-05 13:24;Telegram;благодарность;Оператор В;247;684;240;да;4
REQ-0239;2026-07-27 17:58;MAX;членство;Оператор А;14;140;120;нет;4
REQ-0240;2026-07-10 09:13;Telegram;мероприятия;Оператор Б;8;108;60;нет;
REQ-0241;2026-08-09 18:04;Telegram;жалоба;Оператор А;20;60;30;нет;4
REQ-0242;2026-07-01 10:42;Telegram;гости;Оператор В;10;111;30;нет;
REQ-0243;2026-06-05 09:33;MAX;мероприятия;Оператор Б;57;137;60;нет;3
REQ-0244;2026-08-03 15:08;Telegram;членство;Оператор В;8;13;120;нет;5
REQ-0245;2026-08-07 10:44;Telegram;благодарность;Оператор А;168;680;240;нет;
REQ-0246;2026-07-05 17:57;почта;членство;Оператор А;20;64;120;нет;4
REQ-0247;2026-08-06 10:02;Telegram;членство;Оператор А;116;452;120;нет;5
REQ-0248;2026-07-27 11:26;Telegram;гости;Оператор В;29;96;30;нет;2
REQ-0249;2026-08-11 12:23;почта;жалоба;Оператор А;21;52;30;нет;
REQ-0250;2026-08-24 14:13;почта;жалоба;Оператор Б;24;55;30;нет;
REQ-0251;2026-07-15 16:33;Telegram;биллинг;Оператор Б;76;253;60;да;
REQ-0252;2026-07-19 09:02;Telegram;членство;Оператор Б;102;339;120;нет;5
REQ-0253;2026-07-18 10:42;лично;гости;Оператор Б;14;62;30;нет;5
REQ-0254;2026-08-03 10:50;Telegram;мероприятия;Оператор Г;116;121;60;да;
REQ-0255;2026-07-13 13:10;почта;гости;Оператор А;18;65;30;нет;5
REQ-0256;2026-07-03 12:45;почта;членство;Оператор Б;93;227;120;нет;5
REQ-0257;2026-08-02 12:23;Telegram;биллинг;Оператор Б;115;139;60;да;3
REQ-0258;2026-06-09 11:37;Telegram;гости;Оператор В;14;45;30;нет;
REQ-0259;2026-06-09 17:04;MAX;благодарность;Оператор В;157;484;240;нет;
REQ-0260;2026-07-25 19:38;Telegram;членство;Оператор В;55;191;120;нет;2
REQ-0261;2026-08-12 18:48;почта;благодарность;Оператор А;189;1085;240;нет;5
REQ-0262;2026-08-18 09:01;Telegram;навигация;Оператор А;22;110;30;нет;
REQ-0263;2026-06-08 15:19;MAX;благодарность;Оператор А;91;484;240;нет;
REQ-0264;2026-06-11 13:09;лично;жалоба;Оператор Г;47;141;30;да;
REQ-0265;2026-08-14 17:57;Telegram;благодарность;Оператор В;204;476;240;нет;4
REQ-0266;2026-07-15 17:21;Telegram;навигация;Оператор В;17;101;30;нет;
REQ-0267;2026-07-21 10:24;Telegram;бронирования;Оператор Г;21;53;30;нет;4
REQ-0268;2026-06-22 16:31;Telegram;мероприятия;Оператор Г;35;86;60;нет;5
REQ-0269;2026-08-02 19:03;Telegram;членство;Оператор В;55;225;120;нет;
REQ-0270;2026-07-19 15:35;Telegram;бронирования;Оператор Б;24;48;30;нет;
REQ-0271;2026-06-03 16:41;Telegram;благодарность;Оператор В;92;777;240;нет;1
REQ-0272;2026-07-23 16:51;лично;навигация;Оператор Б;10;15;30;нет;3
REQ-0273;2026-07-04 16:30;лично;навигация;Оператор Б;30;89;30;нет;4
REQ-0274;2026-08-21 10:11;Telegram;членство;Оператор В;132;284;120;да;
REQ-0275;2026-07-23 18:48;лично;членство;Оператор А;34;261;120;нет;
REQ-0276;2026-06-19 13:56;лично;благодарность;Оператор Г;431;1164;240;да;
REQ-0277;2026-07-16 21:17;Telegram;биллинг;Оператор А;57;79;60;нет;
REQ-0278;2026-07-01 19:37;лично;навигация;Оператор А;7;112;30;нет;5
REQ-0279;2026-07-15 21:55;Telegram;бронирования;Оператор А;14;94;30;нет;5
REQ-0280;2026-08-02 16:25;Telegram;биллинг;Оператор Б;104;170;60;да;
REQ-0281;2026-06-11 09:05;Telegram;жалоба;Оператор Г;59;169;30;да;1
REQ-0282;2026-06-14 15:57;лично;благодарность;Оператор Г;403;458;240;да;1
REQ-0283;2026-07-19 17:09;Telegram;мероприятия;Оператор А;43;227;60;нет;
REQ-0284;2026-07-18 13:06;Telegram;жалоба;Оператор А;14;27;30;нет;
REQ-0285;2026-08-07 13:27;MAX;бронирования;Оператор А;25;70;30;нет;2
REQ-0286;2026-08-19 21:45;почта;биллинг;Оператор Б;51;65;60;нет;
REQ-0287;2026-07-08 09:13;почта;благодарность;Оператор А;51;676;240;нет;4
REQ-0288;2026-07-28 20:01;MAX;благодарность;Оператор В;216;422;240;нет;
REQ-0289;2026-07-27 20:05;лично;мероприятия;Оператор Г;117;178;60;да;
REQ-0290;2026-07-15 12:01;лично;жалоба;Оператор Г;55;130;30;да;
REQ-0291;2026-08-28 13:32;почта;гости;Оператор Г;26;44;30;нет;4
REQ-0292;2026-08-22 10:27;Telegram;биллинг;Оператор Б;58;63;60;нет;4
REQ-0293;2026-07-21 13:45;MAX;биллинг;Оператор А;1;50;60;нет;
REQ-0294;2026-08-01 15:12;почта;жалоба;Оператор В;23;83;30;нет;5
REQ-0295;2026-08-02 16:23;Telegram;бронирования;Оператор Г;108;186;30;да;4
REQ-0296;2026-08-09 13:46;MAX;мероприятия;Оператор Б;41;128;60;нет;5
REQ-0297;2026-08-01 13:31;MAX;жалоба;Оператор Г;22;127;30;нет;4
REQ-0298;2026-07-26 15:18;Telegram;членство;Оператор А;26;242;120;нет;4
REQ-0299;2026-08-14 21:24;Telegram;бронирования;Оператор А;12;100;30;нет;2
REQ-0300;2026-07-05 14:53;MAX;бронирования;Оператор В;9;72;30;нет;4
REQ-0301;2026-07-07 11:01;Telegram;бронирования;Оператор А;15;54;30;нет;
REQ-0302;2026-08-02 20:21;лично;бронирования;Оператор В;20;49;30;нет;4
REQ-0303;2026-07-28 16:32;Telegram;жалоба;Оператор Г;84;102;30;да;
REQ-0304;2026-08-08 17:28;MAX;биллинг;Оператор В;127;342;60;да;
REQ-0305;2026-08-06 11:54;почта;членство;Оператор В;41;153;120;нет;5
REQ-0306;2026-07-16 14:53;Telegram;бронирования;Оператор Г;46;81;30;да;5
REQ-0307;2026-08-19 09:24;Telegram;гости;Оператор А;4;20;30;нет;4
REQ-0308;2026-06-26 10:43;Telegram;мероприятия;Оператор Б;28;112;60;нет;
REQ-0309;2026-08-02 16:18;Telegram;навигация;Оператор А;11;78;30;нет;
REQ-0310;2026-07-09 09:10;Telegram;бронирования;Оператор В;12;66;30;нет;
REQ-0311;2026-06-16 19:24;Telegram;биллинг;Оператор Г;167;190;60;да;
REQ-0312;2026-08-17 13:41;почта;благодарность;Оператор Б;119;675;240;нет;
REQ-0313;2026-06-20 16:23;MAX;навигация;Оператор Б;3;98;30;нет;4
REQ-0314;2026-08-03 15:32;MAX;биллинг;Оператор Б;97;207;60;да;3
REQ-0315;2026-08-10 09:09;MAX;навигация;Оператор В;19;63;30;нет;5
REQ-0316;2026-08-23 19:45;почта;гости;Оператор Г;22;46;30;нет;
REQ-0317;2026-07-03 16:36;лично;биллинг;Оператор Г;235;388;60;да;4
REQ-0318;2026-06-01 12:57;MAX;биллинг;Оператор А;74;215;60;да;
