id_участника;тип_членства;куратор;месяцев_в_клубе;визитов_в_месяц;мероприятий_за_квартал;гостей_за_квартал;connects_за_квартал;завтраков_за_квартал;открываемость_рассылок_pct;дней_до_окончания;статус
M-145;корпоративное;куратор_3;39;8,4;7;2;6;3;66;359;активен
M-146;семейное;куратор_2;27;6,8;4;2;0;1;63;279;активен
M-147;индивидуальное;куратор_1;24;5,0;7;4;0;2;61;10;активен
M-148;индивидуальное;куратор_5;22;0;1;0;2;1;32;188;активен
M-149;семейное;куратор_5;35;6,0;6;0;3;3;62;230;активен
M-150;индивидуальное;куратор_5;14;10,0;7;2;1;4;63;220;активен
M-151;корпоративное;куратор_1;14;5,5;3;2;3;0;22;359;активен
M-152;индивидуальное;куратор_5;40;8,1;5;4;6;0;59;277;активен
M-153;индивидуальное;куратор_5;35;6,1;4;2;4;2;37;36;активен
M-154;индивидуальное;куратор_2;20;2,7;1;2;2;1;51;15;активен
M-155;индивидуальное;куратор_2;57;8,9;6;4;4;1;78;258;активен
M-156;индивидуальное;куратор_3;28;6,8;2;2;2;2;54;100;активен
M-157;корпоративное;куратор_3;24;4,9;4;3;5;1;50;102;активен
M-158;индивидуальное;куратор_4;37;7,1;4;0;5;2;52;185;активен
M-159;семейное;куратор_5;35;7,0;7;1;0;3;52;230;активен
M-160;индивидуальное;куратор_3;10;5,0;3;3;1;1;42;295;активен
M-161;индивидуальное;куратор_1;17;0;2;1;1;0;11;157;активен
M-162;семейное;куратор_3;57;6,5;1;3;0;1;41;20;активен
M-163;индивидуальное;куратор_4;41;7,1;2;3;4;2;66;160;активен
M-164;индивидуальное;куратор_1;39;6,8;2;2;2;0;53;183;активен
M-165;индивидуальное;куратор_4;57;6,1;4;5;4;3;70;181;активен
M-166;корпоративное;куратор_5;20;3,3;2;3;2;0;47;357;активен
M-167;индивидуальное;куратор_2;52;3,6;3;2;1;0;9;284;активен
M-168;индивидуальное;куратор_5;29;10,2;7;4;6;1;72;128;активен
M-169;индивидуальное;куратор_5;11;5,9;3;1;2;2;36;91;активен
M-170;семейное;куратор_3;60;4,3;4;1;1;2;43;244;активен
M-171;корпоративное;куратор_2;51;6,0;6;2;7;2;83;227;активен
M-172;индивидуальное;куратор_4;21;5,0;2;2;3;2;67;19;активен
M-173;семейное;куратор_2;13;3,3;2;0;2;0;19;187;активен
M-174;индивидуальное;куратор_4;18;5,7;3;2;0;2;42;30;активен
M-175;индивидуальное;куратор_3;17;4,7;4;2;2;2;34;102;активен
M-176;индивидуальное;куратор_2;30;0,5;0;1;0;0;3;9;активен
M-177;индивидуальное;куратор_1;37;5,8;6;5;3;3;39;316;активен
M-178;индивидуальное;куратор_2;29;7,1;3;1;2;0;60;19;активен
M-179;индивидуальное;куратор_2;26;5,2;4;2;6;1;75;121;активен
M-180;индивидуальное;куратор_4;19;7,8;4;1;5;1;56;306;активен
M-181;корпоративное;куратор_5;35;7,6;3;6;7;2;65;356;активен
M-182;корпоративное;куратор_3;11;1,1;3;0;1;2;25;114;активен
M-183;индивидуальное;куратор_3;25;6,3;5;0;5;0;29;67;активен
M-184;индивидуальное;куратор_3;55;5,4;3;0;2;3;62;350;активен
M-185;корпоративное;куратор_2;31;8,9;6;5;6;3;82;153;активен
M-186;корпоративное;куратор_4;4;6,4;5;0;4;2;56;98;активен
M-187;корпоративное;куратор_4;22;7,1;2;2;3;0;53;300;активен
M-188;семейное;куратор_3;59;6,2;4;3;5;1;55;261;активен
M-189;семейное;куратор_3;5;4,4;0;1;1;0;18;55;активен
M-190;корпоративное;куратор_5;57;1,6;0;0;1;1;23;170;активен
M-191;индивидуальное;куратор_2;11;6,8;7;1;2;0;58;91;активен
M-192;семейное;куратор_4;24;3,5;2;2;0;0;29;244;активен
M-193;семейное;куратор_5;37;9,0;5;3;7;2;76;107;активен
M-194;индивидуальное;куратор_3;41;5,0;3;2;0;1;36;143;активен
M-195;корпоративное;куратор_3;46;3,4;1;2;0;2;32;258;активен
M-196;семейное;куратор_3;29;0;0;0;1;0;10;51;активен
M-197;семейное;куратор_5;45;6,0;2;1;4;1;26;21;активен
M-198;индивидуальное;куратор_1;44;10,5;2;4;7;0;89;19;активен
M-199;семейное;куратор_2;41;1,0;1;1;3;0;10;19;активен
M-200;корпоративное;куратор_3;60;7,0;2;1;6;3;63;38;активен
M-201;индивидуальное;куратор_2;24;11,5;8;5;7;3;90;;не продлил
M-202;семейное;куратор_4;18;87;2;1;0;1;12;140;активен
M-203;корпоративное;куратор_1;36;6,2;4;2;3;1;55;-30;активен
